developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,total_reviews,total_positive,total_negative,positive_percentual,metacritic,is_free,price_initial (USD),label_positive,release_year
['GoldenGod Games'],['GoldenGod Games'],"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['RPG', 'Strategy']",0,32,"['windows', 'mac']",True,9,8,1,88.9,0,False,9.99,1,2024.0
['Saucy Melon'],['Saucy Melon'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Early Access']",0,42,['windows'],True,9,9,0,100.0,0,False,7.99,1,2024.0
['Oak The Wise'],['Oak The Wise'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Remote Play Together', 'Family Sharing']","['Casual', 'Indie', 'Strategy', 'Early Access']",0,0,['windows'],True,1,1,0,100.0,0,False,7.99,1,2024.0
['Angel Ñeco aka. NecoPlanet'],['Angel Ñeco aka. NecoPlanet'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Action', 'Casual', 'Indie']",0,41,['windows'],True,5,4,1,80.0,0,False,10.99,1,2024.0
['CHARK Studio'],['CHARK Studio'],"['Single-player', 'Full controller support', 'Family Sharing']","['Adventure', 'Indie']",0,0,"['windows', 'mac']",True,39,34,5,87.2,0,False,3.99,1,2024.0
['Gorilla Dome Games'],['Gorilla Dome Games'],"['Single-player', 'Steam Achievements', 'Stats', 'Steam Leaderboards', 'Family Sharing']","['Casual', 'Indie']",0,8,['windows'],True,3,3,0,100.0,0,False,0.99,1,2024.0
['Studio Asgard Gaming'],['Studio Asgard Gaming'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']",0,1,['windows'],True,2,0,2,0.0,0,False,8.99,0,2024.0
['corrox'],['corrox'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']",['Adventure'],0,5,['windows'],True,2,2,0,100.0,0,False,5.99,1,2024.0
['Universal_official'],['Universal_official'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Strategy']",0,0,['windows'],True,2,2,0,100.0,0,False,4.99,1,2024.0
['DeerRiver'],['DeerRiver'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Action', 'Casual', 'Indie', 'RPG', 'Simulation']",0,12,['windows'],True,1,1,0,100.0,0,False,6.99,1,2024.0
['RikiGame'],['RikiGame'],"['Single-player', 'Steam Achievements', 'Family Sharing']",['Indie'],0,34,['windows'],True,1,1,0,100.0,0,False,0.99,1,2023.0
['く～るシスター'],['Hanabi Games'],"['Single-player', 'Family Sharing']",['Adventure'],0,0,['windows'],True,18,14,4,77.8,0,False,10.99,0,2024.0
['Tsukuyomi'],['Tsukuyomi'],"['Single-player', 'Family Sharing']","['Adventure', 'Indie']",0,61,['windows'],True,176,157,19,89.2,0,False,5.99,1,2024.0
['Nuts Pecker'],['Nuts Pecker'],"['Single-player', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",0,0,['windows'],True,1,1,0,100.0,0,False,1.99,1,2024.0
"['andiegoesindie', 'robinz', 'StudioStudioStudioStudio']",['StudioStudioStudioStudio'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",0,12,['windows'],True,17,16,1,94.1,0,False,2.99,1,2024.0
['高云书'],['高云书'],"['Single-player', 'Family Sharing']","['Casual', 'Indie']",0,0,['windows'],True,1,1,0,100.0,0,False,0.99,1,2024.0
['SureAI'],['SureAI'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure']",0,17,['windows'],True,11,2,9,18.2,0,False,9.99,0,
